Date,station_registrar_code,station_ea_code,session_operator_id,station_number,station_release_version,machine_address,machine_district,machine_state,machine_pincode,machine_lat,machine_long,machine_version,pkt_source,Count_U_plus_N_plus_Z,Count_N,Count_Z,Count_U,DEMO_UPDATE,BIO_UPDATE,NON_MBU,IS_MBU,COUNT_6AM_TO_10PM,COUNT_10PM_TO_6AM
2026-07-14,840,0840,GJWCD_BNS_NS151887,20030,3.3.4.2/210-1,centre timing 10 am to 06 pm At tharad Po tharad Ta Tharad DIst Banaskantha 385565 Gujarat date - 14-07-2026,Banaskantha,Gujarat,385565,"24Â°23'13.87206"" N","71Â°37'32.60742"" E",3.3.4.2,ECMP,24,7,0,17,2,15,8,7,24,0
2026-07-14,127,2821,MH_MIT_WS_NS558385,44111,,"Aaple Sarkar Aadhar Seva Kendra, Near Sunrise English School Old Panchayat Samiti Risod Ta Risod Dist Washim Pin-444506",Washim,Maharashtra,444506,"19Â°58'32.5854"" N",76Â°47'26.747999 E,3.3.4.2,UC,46,0,0,46,24,22,12,10,46,0
2026-07-14,273,4096,ELCOTDGL_BHUVANESWARI,60328,3.3.4.2/210-1,NSVV MATRIC SCHOOL PATTIVERANPATTI,Dindigul,Tamil Nadu,624211,"10Â°12'47.22654"" N",77Â°45'28.242179 E,3.3.4.2,ECMP,38,5,0,33,0,33,5,28,38,0
2026-07-14,820,0515,MP_0515D_Se_NS644369,17233,3.3.4.2/210-1,GOVT.JANPAD PARISAR ALIPUR ASHTA,Sehore,Madhya Pradesh,466116,"23Â°0'41.61621"" N","76Â°43'24.31638"" E",3.3.4.2,ECMP,53,10,0,43,15,28,14,14,53,0
2026-07-14,124,0124,GJ_GOG_AND_NS841002,13464,3.3.4.2/210-1,"Ground Floor, Behind Court , Singlav Road , Taluka Panchayat Office Borsad",Anand,Gujarat,388540,22Â°25'9.550799 N,"72Â°54'5.9766"" E",3.3.4.2,ECMP,29,0,0,29,10,19,11,8,29,0
2026-07-14,804,2726,DOPTN_TU_NS719859,11223,3.3.4.2/210-1,Sawyerpuram sub post office,Thoothukkudi,Tamil Nadu,628251,8Â°40'49.449479 N,"78Â°1'43.79883"" E",3.3.4.2,ECMP,9,0,0,9,5,4,2,2,9,0
2026-07-14,804,2721,MP_MDS_NS736390,27882,3.3.4.2/210-1,near bus stand mahagarhso,Neemuch,Madhya Pradesh,458113,24Â°24'5.507820 N,"75Â°9'35.91798"" E",3.3.4.2,ECMP,15,4,0,11,5,6,1,5,15,0
2026-07-14,221,2906,CSC_KL_PTA_NS798565,23058,,"33/334 ROYAL PLAZA BUILDING, SREE VALLABHA TEMPLE ROAD, MARLET JN. THIRUVALLA",Pathanamthitta,Kerala,689101,"9Â°22'39.8328"" N","76Â°33'56.04492"" E",3.3.4.2,UC,2,0,0,2,2,0,0,0,2,0
2026-07-14,224,2980,IPPBMP_1486434,81217,,Rewa Head Post Office,Rewa,Madhya Pradesh,486001,"24Â° 32' 38.54""","81Â° 18' 6.05""",4.7.0.1,MOU,12,0,0,12,12,0,0,0,12,0
2026-07-14,804,2721,MP_IP_Mo_NS873487,27809,3.3.4.2/210-1,"Main Market, Post Office,Sheopur ",Sheopur,Madhya Pradesh,476337,"25Â°39'53.75976"" N","76Â°41'45.3516"" E",3.3.4.2,ECMP,33,13,0,20,11,9,5,4,33,0
2026-07-14,221,2906,UCSC_WB_NS515234,48742,,NEAR BOROI PUBLIC LIBRARY,Malda,West Bengal,732140,"25Â°30'27.9492"" N","87Â°59'23.08596"" E",3.3.4.2,UC,39,0,0,39,39,0,0,0,39,0
2026-07-14,804,2714,DL_CPMG_ED_NS908394,29331,3.3.4.2/210-1,ambedkar vihar johripur,North East Delhi,Delhi,110094,28Â°43'15.732420 N,77Â°17'12.363299 E,3.3.4.2,ECMP,90,12,0,78,19,59,45,14,90,0
2026-07-14,224,2988,IPPBUP_1434871,19352,,Kashipur,Sambhal,Uttar Pradesh,243722,"28Â° 9' 1.3""","78Â° 30' 33.03""",4.7.0.1,MOU,11,0,0,11,11,0,0,0,11,0
2026-07-14,804,2726,DOPTN_TR_NS489468,12051,3.3.4.2/210-1,jayamkondacholapuram post office,Ariyalur,Tamil Nadu,621802,"11Â°12'44.38476"" N","79Â°21'53.8476"" E",3.3.4.2,ECMP,36,2,0,34,12,22,19,3,36,0
2026-07-14,001,0015,PRO025_13,02512,,"Gajraj Complex,Kunraghat,Mohaddipur,Beside Reliance Digital,Gorakhpur-273008",Gorakhpur,Uttar Pradesh,273008,"26Â°44'59.6631"" N","83Â°24'18.5742"" E",3.3.4.2,UC,11,1,0,10,3,7,6,1,11,0
2026-07-14,221,2906,UP_CSC_UCL_NS015894,11333,,NAER BABA FALAHARI INTER COLLEGE CSC CENTRE PURA BALUA PIN 232109 MO. 8127528991,Chandauli,Uttar Pradesh,232109,25Â°25'41.015640 N,"83Â°11'20.8008"" E",3.3.4.2,UC,5,0,0,5,5,0,0,0,5,0
2026-07-14,815,0815,garwa_ns400949,70011,3.3.4.2/210-1,block campus dhurki,Garhwa,Jharkhand,822121,"24Â°8'26.96778"" N","83Â°26'56.19138"" E",3.3.4.2,ECMP,17,0,0,17,0,17,10,7,17,0
2026-07-14,251,4060,PERD_GAY_NS851385,25174,3.3.4.2/208-2,gaya,Gaya,Bihar,805128,24Â°43'44.765640 N,85Â°15'16.992179 E,3.3.4.2,ECMP,41,12,0,29,7,22,17,5,41,0
2026-07-14,636,0636,WB_ICICI_NS458375,20893,,"ICICI Bank Ltd,Bishnupur, Laxmi Park,Plot No. 1020//1019,Khatian No.17539,Gl No. 101,Ward No. 15, South Balia Para, P.O. Bishnupur, Dist. Bankura , West Bengal, 722122",Bankura,West Bengal,722122,"23Â°4'13.2129"" N",87Â°18'55.078140 E,3.3.4.2,UC,13,4,0,9,1,8,3,5,13,0
2026-07-14,231,0231,UPSIL38137,38120,3.3.4.2/210-1,"Village Panchayat Secretariat, Madhan",Sambhal,Uttar Pradesh,244102,28Â°45'26.674799 N,"78Â°36'16.66992"" E",3.3.4.2,ECMP,47,8,0,39,7,32,10,22,47,0
2026-07-14,221,0221,BR_CSC_PAT_NS426390,00015,3.3.4.2/208-2,"CSC e-Governance Services India Limited Landmark-Opposite of HI-TECH Emergency Hospital,  S.K Place, 4th Floor, Near Saguna More Golambar,  Block- Danapur, District-Patna, State- Bihar-801503",Patna,Bihar,801503,"25Â°37'15.36624"" N",85Â°2'33.398436 E,3.3.4.2,ECMP,33,17,0,16,3,13,3,10,33,0
2026-07-14,124,0124,GJ_GOG_SMC_NS827868,45501,3.3.4.2/210-1,nr.tadwadi rander road surat,Surat,Gujarat,395009,"21Â°12'13.9746"" N","72Â°47'52.1778"" E",3.3.4.2,ECMP,10,4,0,6,5,1,1,0,10,0
2026-07-14,221,2906,UP_CSC_UCL_NS004467,44452,,csc aadhar demographic update center auraiya,Auraiya,Uttar Pradesh,206122,"26Â°28'8.4522"" N","79Â°30'2.19726"" E",3.3.4.2,UC,9,0,0,9,9,0,0,0,9,0
2026-07-14,224,2988,IPPBUP_1251675,54575,4.7.0.1,IPPB KHARKHAUDA MEERUT,Meerut,Uttar Pradesh,245206,"28Â° 49' 9.72""","77Â° 46' 13.64""",4.7.0.1,ECL,12,12,0,0,0,0,0,0,12,0
2026-07-14,804,2728,UP.DOP_GON_NS919170,91246,3.3.4.2/210-1,mankapur Bazar Post Office ,Gonda,Uttar Pradesh,271302,"27Â°2'36.9873"" N","82Â°13'18.39846"" E",3.3.4.2,ECMP,31,6,0,25,3,22,5,17,31,0
2026-07-14,243,4050,K1_MYS_062,52022,3.3.4.2/210-1,New Sheshadri Iyyer Road Mysore ,Mysuru,Karnataka,570001,"12Â°19'4.49706"" N","76Â°38'50.9766"" E",3.3.4.2,ECMP,56,4,0,52,18,34,23,11,56,0
2026-07-14,651,0651,WB_IBVTL_NS799037,31143,,"Laskarpur Indian Bank, Mahamayatala",South 24 Parganas,West Bengal,700084,"22Â°27'29.86818"" N","88Â°22'51.50388"" E",3.3.4.2,UC,32,0,0,32,32,0,0,0,32,0
2026-07-14,124,0124,GJ_GOG_KHD_NS092220,31420,3.3.4.2/210-1,Taluka Seva Sadan. Near Civil Court. Dakor Sevaliya Road.Thasara-388250,Kheda,Gujarat,388250,"22Â°48'10.03416"" N",73Â°12'4.892580 E,3.3.4.2,ECMP,23,0,0,23,2,21,15,6,23,0
2026-07-14,243,4064,G1_CEKPL_004,57019,,"ALWANDI,  MOB8970584832",Koppal,Karnataka,583226,"15Â° 13' 57.5""","75Â° 58' 43.67""",4.7.0.1,MOU,2,0,0,2,2,0,0,0,2,0
2026-07-14,231,0231,UPSIL54106,54104,3.3.4.2/210-1,NAGAR PANCHAYAT  DOHARIGHAT MAU,Mau,Uttar Pradesh,275303,"26Â°18'16.39158"" N","83Â°30'5.15628"" E",3.3.4.2,ECMP,22,2,0,20,10,10,4,6,22,0
2026-07-14,126,0126,DNH0126SSKNS350068,12902,3.3.4.2/210-1,"SARAL SEVA KENDRA, OPP. P.H.C, NAROLI",Dadra and Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,396235,"20Â°16'17.7759"" N","72Â°56'25.0488"" E",3.3.4.2,ECMP,41,0,0,41,4,37,2,35,41,0
2026-07-14,221,0221,GJCSC_AND_NS333536,00579,3.3.4.2/208-2,G1 -Nilkhanth Square near abhilasha society opp new seva sadan anand sojitra road,Anand,Gujarat,388001,"22Â°32'37.63182"" N","72Â°58'0.996"" E",3.3.4.2,ECMP,16,2,0,14,8,6,4,2,16,0
2026-07-14,172,0172,CELC_KAL_NS906448,00058,,At JERATAGI Tq Jewargi dist kalaburagi,Kalaburagi,Karnataka,585310,"17Â° 0' 44.58""","76Â° 27' 11.62""",4.7.0.1,MOU,4,0,0,4,4,0,0,0,4,0
2026-07-14,804,0804,UIDN1346209,44855,3.3.4.2/210-1,BYNDOOR POST OFFICE BYNDOOR,Udupi,Karnataka,576214,"13Â°51'59.8536"" N",74Â°37'42.245999 E,3.3.4.2,ECMP,7,0,0,7,4,3,3,0,7,0
2026-07-14,804,2725,RJ_CPMG_JA_NS831165,03124,3.3.4.2/208-2,karansar sub post office,Jaipur,Rajasthan,303123,27Â°5'31.464840 N,"75Â°27'2.0508"" E",3.3.4.2,ECMP,26,4,0,22,5,17,10,7,26,0
2026-07-14,867,0867,SED_SNR_JGTL_MADH410,20117,3.3.4.2/208-2,"KUMMARIPALLY,VELGATOOR,JAGTIAL",Jagitial,Telangana,505526,"18Â°50'4.5117"" N",79Â°10'57.275400 E,3.3.4.2,ECMP,9,0,0,9,2,7,1,6,9,0
2026-07-14,108,0516,DOW_RJ_Ja_NS705624,16991,,BHARAT NIRMAN RAJIV GANDHI SEVA KENDRA GRAM PANCHYAT MENGALWA,Jalor,Rajasthan,343022,25Â°17'58.916039 N,"72Â°12'11.9238"" E",3.3.4.2,UC,26,5,0,21,3,18,10,8,26,0
2026-07-14,847,0847,JEPC_MKS_GOD_NS904303,20906,3.3.4.2/210-1,BRC OFFICE MAHAGAMA GODDA 814154,Godda,Jharkhand,814154,"25Â°1'40.41504"" N","87Â°19'19.39452"" E",3.3.4.2,ECMP,37,4,0,33,2,31,5,26,37,0
2026-07-14,103,2309,020_S_SUM_NS880737,17064,3.3.4.2/210-1,"Village Ghagar Sarai, Shamlat Land Near Rajpura Delhi Highway Ghagar Sarai, Rajpura, Patiala",Patiala,Punjab,140417,"30Â°27'2.4756"" N","76Â°39'45.64452"" E",3.3.4.2,ECMP,21,5,0,16,5,11,6,5,21,0
2026-07-14,231,0231,UPSIL66116,66120,3.3.4.2/210-1,gram itahara block deegh dist bhadohi,Bhadohi,Uttar Pradesh,221309,"25Â°13'0.29298"" N","82Â°13'34.74612"" E",3.3.4.2,ECMP,10,2,0,8,1,7,2,5,10,0
2026-07-14,108,0516,DOW_RJ_Bi_NS821316,17285,,"Office Of Chief Engineer, IGNP, Ganganagar Road",Bikaner,Rajasthan,334001,28Â°1'40.708008 N,"73Â°19'17.02146"" E",3.3.4.2,UC,61,0,0,61,24,37,18,19,61,0
2026-07-14,820,0515,MP_0515D_Ja_NS886065,42375,3.3.4.2/210-1,PANCHAYAT AVAM SAMAJIK NYAY SANCHNALAY KARYALAY GARHA JABALPUR,Jabalpur,Madhya Pradesh,482003,"23Â°9'25.76658"" N","79Â°53'47.4024"" E",3.3.4.2,ECMP,21,1,0,20,7,13,13,0,21,0
2026-07-14,221,2906,UCSC_WB_NS318933,12356,,Khodambari Bhim Bazar,Purba Medinipur,West Bengal,721650,22Â°2'42.539063 N,"87Â°54'34.5117"" E",3.3.4.2,UC,6,0,0,6,6,0,0,0,6,0
2026-07-14,820,0515,MP_0515L_Ja_NS884195,42838,3.3.4.2/210-1,LOK SEWA KENDRA GOSALPUR,Jabalpur,Madhya Pradesh,483222,23Â°29'5.537100 N,"80Â°6'16.46484"" E",3.3.4.2,ECMP,20,7,0,13,7,6,4,2,20,0
2026-07-14,804,2712,DOPBR_445592,82306,,NAYA BAZAR NEAR KRK HIGH SCHOOL LAKHISARAI,Lakhisarai,Bihar,811311,"25Â°10'8.87694"" N","86Â°5'43.41798"" E",3.3.4.2,UC,35,8,0,27,15,12,9,3,35,0
2026-07-14,218,2650,SH-EKH71,10034,3.3.4.2/210-1,Mawlai C & RD Block Mawtawar,East Khasi Hills,Meghalaya,793022,"25Â°37'31.25976"" N","91Â°55'12.246"" E",3.3.4.2,ECMP,4,2,0,2,2,0,0,0,4,0
2026-07-14,224,2992,IPPBWB_1316914,65511,,SHIBGANJ B.O.,Howrah,West Bengal,711314,"22Â° 15' 52.8""","88Â° 3' 59.97""",4.7.0.1,MOU,34,0,0,34,34,0,0,0,34,0
2026-07-14,986,2084,Pra_k_Raipur,63311,,GRAM PANCHAYAT SILYARI KURUD RAIPUR,Raipur,Chhattisgarh,493116,"21Â°25'25.35642"" N","81Â°45'5.15628"" E",3.3.4.2,UC,29,2,0,27,11,16,9,7,29,0
2026-07-14,804,2724,DOP-NS901007,13706,3.3.4.2/210-1,Near Panchayat Office,Koraput,Odisha,765013,"18Â°52'36.3135"" N",83Â°10'14.589839 E,3.3.4.2,ECMP,21,2,0,19,12,7,1,6,21,0
2026-07-14,807,0807,DL_ND_ND_NS924371,80573,3.3.4.2/208-2,JAI BHAGWAN Begumpur ,North West Delhi,Delhi,110086,"28Â°44'21.60642"" N",77Â°0'32.373048 E,3.3.4.2,ECMP,52,4,0,48,10,38,38,0,52,0
2026-07-14,103,2309,022_S_SUK_NS826188,13028,3.3.4.2/210-1,"TEHSIL COMPLEX AHMEDGARH, MALERKOTLA",Malerkotla,Punjab,148021,"30Â°40'51.03516"" N",75Â°49'36.620999 E,3.3.4.2,ECMP,9,0,0,9,5,4,3,1,9,0
2026-07-14,169,4046,RDDN_KGG_NS891749,17519,3.3.4.2/208-2,Alauli Block-2 Alauli Khagaria 848203,Khagaria,Bihar,848203,"25Â°39'19.13088"" N",86Â°19'44.531279 E,3.3.4.2,ECMP,15,4,0,11,0,11,1,10,15,0
2026-07-14,243,4050,K1_CAMP_UDP_401,10085,,KARNATAKA 1 COLLEGE ROAD BYNDOOR,Udupi,Karnataka,576214,"13Â°52'4.4385"" N","74Â°37'35.9766"" E",3.3.4.2,UC,17,0,0,17,12,5,1,4,17,0
2026-07-14,804,2725,RJ_CPMG_Sr_NS720900,35711,3.3.4.2/210-1,pilibnaga,Hanumangarh,Rajasthan,335803,"29Â°28'24.99024"" N",74Â°4'23.203128 E,3.3.4.2,ECMP,36,9,0,27,6,21,16,5,36,0
2026-07-14,243,4050,K1_CAMP_CKB_314,20051,3.3.4.2/210-1,Near Petrol Bunk Jangamakote cross,Chikkaballapur,Karnataka,562102,"13Â°16'12.312"" N",77Â°50'59.619119 E,3.3.4.2,ECMP,10,3,0,7,1,6,1,5,10,0
2026-07-14,656,0656,UP_UBIC_NS923091,94775,,AADHAAR ENROLLMENT CENTER KATARIYA NASIRPUR GHAZIPUR,Ghazipur,Uttar Pradesh,233301,"25Â°41'16.56738"" N","83Â°47'4.04298"" E",3.3.4.2,UC,18,3,0,15,3,12,5,7,18,0
2026-07-14,245,4053,CLC_RAJOUND_3,10265,3.3.4.2/210-1,"AADHAAR SEWA KENDRA, MUNCIPAL COMMITTEE, ASSANDH ROAD, RAJOUND, DISTRICT KAITHAL",Kaithal,Haryana,136044,"29Â°34'30.29298"" N","76Â°29'29.09178"" E",3.3.4.2,ECMP,34,6,0,28,9,19,16,3,34,0
2026-07-14,143,0143,OCIC3654,38654,3.3.4.2/210-1,"MORADA CDPO OFFICE, MORADA, MAYURBHANJ",Mayurbhanj,Odisha,757018,"21Â°50'33.6036"" N",86Â°56'43.359359 E,3.3.4.2,ECMP,5,0,0,5,4,1,1,0,5,0
2026-07-14,169,4049,RDDE_VSH_NS831940,37505,3.3.4.2/208-2,"BLOCK CAMPUS,DESARI,VAISHALI,844504",Vaishali,Bihar,844504,"25Â°39'57.39258"" N",85Â°24'27.890639 E,3.3.4.2,ECMP,27,9,0,18,1,17,17,0,27,0
2026-07-14,127,2821,MH_MIT_MS_NS865420,27335,,BMC SCHOOL ST PAUL SCHOOL MALWANI GATE NO 7 MALAD WEST,Mumbai Suburban,Maharashtra,400095,"19Â°11'8.75976"" N",72Â°49'4.775399 E,3.3.4.2,UC,126,0,0,126,47,79,56,23,126,0
2026-07-14,637,0637,HR_IDFE_NS731869,21003,3.3.4.2/208-2,"SCO-35, Ground Floor, Near Shyam Garments, Sector-14, Urban Estate, Gurgaon",Gurgaon,Haryana,122001,"28Â°28'29.97072"" N",77Â°2'38.056638 E,3.3.4.2,ECMP,14,2,0,12,6,6,3,3,14,0
2026-07-14,840,0840,GJWCD_KCH_NS503075,10017,3.3.4.2/210-1,"CENTER TIMING - 10AM TO 6 PM CENTER ADDRESS:-AASHAPURANAGARI-2, SARPATGET, SHANTINAGAR, BHUJ-KACHCHH, PINCODE:- 370001",Kachchh,Gujarat,370001,"23Â°15'53.96484"" N","69Â°40'8.3202"" E",3.3.4.2,ECMP,20,16,0,4,0,4,1,3,20,0
2026-07-14,648,0648,HR_BOBO_NS876569,05326,3.3.4.2/208-2,PATODI,Gurgaon,Haryana,122503,"28Â°19'47.31444"" N","76Â°46'34.0137"" E",3.3.4.2,ECMP,36,6,0,30,16,14,4,10,36,0
2026-07-14,127,2821,MH_MIT_YTL_NS788820,45178,,"Municipal Council- Nagar Parishad Pandharkawda, Near Tahsil Office Kelapur",Yavatmal,Maharashtra,445302,20Â°1'24.565428 N,"78Â°32'50.0976"" E",3.3.4.2,UC,20,5,0,15,8,7,6,1,20,0
2026-07-14,221,2906,UP_CSC_UCL_NS172786,47555,,AADHAAR DEMOGRAPHIC CENTER POOREBHAN ROHI GYANPUR BHADOHI 8756824265,Bhadohi,Uttar Pradesh,221308,25Â°22'22.661160 N,"82Â°19'57.71484"" E",3.3.4.2,UC,3,0,0,3,3,0,0,0,3,0
2026-07-14,804,2728,UP.DOP_BUD_NS896881,58837,3.3.4.2/210-1,so sahaswan,Budaun,Uttar Pradesh,243638,"28Â°4'11.45508"" N","78Â°45'9.1113"" E",3.3.4.2,ECMP,37,6,0,31,3,28,25,3,37,0
2026-07-14,221,2906,MH_CSCU_CH_NS375258,23057,,"Ram Internet Cafe And Xerox, Maratha Chowk, Babupeth, Chandrapur ",Chandrapur,Maharashtra,442401,"19Â°55'58.7256"" N","79Â°18'59.70702"" E",3.3.4.2,UC,6,0,0,6,6,0,0,0,6,0
2026-07-14,224,2986,IPPBTN_1098009,73583,4.7.0.1,Pachanampatti  Near Govt.middle School Salem 636455,Salem,Tamil Nadu,636455,"11Â° 45' 52.99""","78Â° 0' 43.65""",4.7.0.1,ECL,12,12,0,0,0,0,0,0,12,0
2026-07-14,103,2309,010_RUP_NS908058,10836,3.3.4.2/210-1,PAKHARPURA TALWANDI KHUMAN,Amritsar,Punjab,143502,"31Â°45'48.3252"" N","75Â°4'58.76952"" E",3.3.4.2,ECMP,28,2,0,26,9,17,16,1,28,0
2026-07-14,820,0515,MP_0515L_BA_NS139726,13830,3.3.4.2/210-1,Lokseva Near Purani Panchayat Bhavan Warla,Barwani,Madhya Pradesh,451666,21Â°25'54.536159 N,"75Â°10'38.55468"" E",3.3.4.2,ECMP,75,25,0,50,6,44,43,1,75,0
2026-07-14,804,2725,RJ_CPMG_Si_NS854732,25603,3.3.4.2/210-1,ranoli so,Sikar,Rajasthan,332403,"27Â°36'24.33108"" N","75Â°15'48.63282"" E",3.3.4.2,ECMP,18,5,0,13,6,7,5,2,18,0
2026-07-14,001,0015,PRO048_12,04801,3.3.4.2/210-1,MMR GRAND MALL BULANDSHAHR,Bulandshahr,Uttar Pradesh,203001,"28Â°24'16.83108"" N","77Â°49'43.56444"" E",3.3.4.2,ECMP,36,3,0,33,5,28,12,16,36,0
2026-07-14,106,2099,2099CS_NS182224,16221,3.3.4.2/210-1,"P.H.C Govt.Hospital, V.P.O- Ramrai",Jind,Haryana,126102,"29Â°16'46.377"" N","76Â°14'20.12694"" E",3.3.4.2,ECMP,16,3,0,13,3,10,10,0,16,0
2026-07-14,243,4050,KI_CAMP_BID_405,40047,3.3.4.2/210-1,AT TASHIL OFFICE AURAD B ,Bidar,Karnataka,585326,"18Â°14'33.10548"" N",77Â°24'32.724599 E,3.3.4.2,ECMP,69,4,0,65,21,44,16,28,69,0
2026-07-14,867,0867,SE_SNR_MADHU_030,20511,3.3.4.2/210-1,mahabubnagar,Mahabubnagar,Telangana,509001,"16Â°45'15.7398"" N",78Â°0'54.345702 E,3.3.4.2,ECMP,10,2,0,8,4,4,0,4,10,0
2026-07-14,804,2722,MH_DOP_NMRNMD_NS357775,23044,3.3.4.2/208-2,NERUL NODE III POST OFFICE SECTOR 3 NERUL ,Thane,Maharashtra,400706,"19Â°2'24.47022"" N",73Â°1'12.275388 E,3.3.4.2,ECMP,12,0,0,12,9,3,3,0,12,0
2026-07-14,231,0231,UPSIL21109,21104,3.3.4.2/210-1,"Block Office, Kundarki Block, District Moradabad  202413",Moradabad,Uttar Pradesh,202413,"28Â°41'12.8613"" N",78Â°47'16.757820 E,3.3.4.2,ECMP,46,12,0,34,6,28,13,15,46,0
2026-07-14,221,2906,UP_CSC_UCL_NS754360,41889,,Soni Post Ramaipur phulpur prayagraj,Allahabad,Uttar Pradesh,221505,"25Â°25'24.81444"" N","81Â°59'49.89258"" E",3.3.4.2,UC,7,0,0,7,7,0,0,0,7,0
2026-07-14,804,2726,DOPTN_TH_NS821652,11179,3.3.4.2/210-1,Bazar street ,Theni,Tamil Nadu,625515,9Â°50'32.647800 N,77Â°22'48.281279 E,3.3.4.2,ECMP,20,0,0,20,9,11,6,5,20,0
2026-07-14,231,0231,UPSIL11165,11145,3.3.4.2/210-1,Shreetone Aadhar Sewa Kendra Nagar Panchayat Nanuta,Saharanpur,Uttar Pradesh,247452,"29Â°42'57.21678"" N","77Â°25'13.50588"" E",3.3.4.2,ECMP,13,2,0,11,3,8,4,4,13,0
2026-07-14,820,0515,MP_0515D_Di_NS711862,19208,," BRCC, OFFICE ROOM NO 1, NEAR YATAYAT THANA, MAND ROAD DINDORI PIN CODE 481880",Dindori,Madhya Pradesh,481880,"22Â°56'9.36036"" N","81Â°4'48.75"" E",3.3.4.2,UC,29,12,0,17,0,17,1,16,29,0
2026-07-14,224,2992,IPPBWB_1517379,03308,,Alipurduar,Cooch Behar,West Bengal,736121,"26Â° 26' 44.97""","89Â° 37' 11.51""",4.7.0.1,MOU,21,0,0,21,21,0,0,0,21,0
2026-07-14,108,2898,DOC_RJ_Sr_NS753988,31756,,Sriganganagar,Ganganagar,Rajasthan,335001,"29Â° 55' 53.89""","73Â° 52' 3.64""",4.7.0.1,MOU,14,0,0,14,14,0,0,0,14,0
2026-07-14,704,0704,bsnlapfr_elr_328236,13030,3.3.4.2/210-1,"GROUND FLOOR,OPP MASID,ATTILI,ATTLI MANDALAM,W .G DIST",West Godavari,Andhra Pradesh,534134,"16Â°41'16.46484"" N","81Â°36'18.7206"" E",3.3.4.2,ECMP,33,2,0,31,13,18,11,7,33,0
2026-07-14,103,2309,018_S_IND_NS915123,18544,3.3.4.2/210-1,SEWA KENDRA MANUKE,Ludhiana,Punjab,142034,"30Â°40'18.75"" N","75Â°27'24.81444"" E",3.3.4.2,ECMP,28,1,0,27,10,17,9,8,28,0
2026-07-14,001,0014,BLS026_006,01302,3.3.4.2/210-1,"Retail Store 1, Platina Rajat City Group, Maharana Pratap Circle, Kunhadi, Kota ",Kota,Rajasthan,324008,"25Â°11'51.44532"" N","75Â°50'26.1621"" E",3.3.4.2,ECMP,29,4,0,25,6,19,11,8,29,0
