12,Gaurella-Pendra-Marwahi,EDMgaurellapendramarwahi,123456789,edmgaurellapendramarwahi@gmail.com,DCgaurellapendramarwahi,123456789,dcgaurellapendramarwahi@gmail.com,MTOgaurellapendramarwahi,123456789,mtogaurellapendramarwahi@gmail.com,,,
13,Janjgir-Champa,EDMjanjgirchampa,123456789,edmjanjgirchampa@gmail.com,DCjanjgirchampa,123456789,dcjanjgirchampa@gmail.com,MTOjanjgirchampa,123456789,mtojanjgirchampa@gmail.com,,,
14,Jashpur,EDMjashpur,123456789,edmjashpur@gmail.com,DCjashpur,123456789,dcjashpur@gmail.com,MTOjashpur,123456789,mtojashpur@gmail.com,,,
15,Kabirdham,EDMkabirdham,123456789,edmkabirdham@gmail.com,DCkabirdham,123456789,dckabirdham@gmail.com,MTOkabirdham,123456789,mtokabirdham@gmail.com,,,
16,Kanker,EDMkanker,123456789,edmkanker@gmail.com,DCkanker,123456789,dckanker@gmail.com,MTOkanker,123456789,mtokanker@gmail.com,,,
17,Kondagaon,EDMkondagaon,123456789,edmkondagaon@gmail.com,DCkondagaon,123456789,dckondagaon@gmail.com,MTOkondagaon,123456789,mtokondagaon@gmail.com,,,
18,Khairagarh-Chhuikhadan-Gandai,EDMkhairagarhchhuikhadangandai,123456789,edmkhairagarhchhuikhadangandai@gmail.com,DCkhairagarhchhuikhadangandai,123456789,dckhairagarhchhuikhadangandai@gmail.com,MTOkhairagarhchhuikhadangandai,123456789,mtokhairagarhchhuikhadangandai@gmail.com,,,
19,Korba,EDMkorba,123456789,edmkorba@gmail.com,,,,MTOkorba,123456789,mtokorba@gmail.com,,,
20,Koriya,EDMkoriya,123456789,edmkoriya@gmail.com,DCkoriya,123456789,dckoriya@gmail.com,MTOkoriya,123456789,mtokoriya@gmail.com,,,
21,Mahasamund,EDMmahasamund,123456789,edmmahasamund@gmail.com,DCmahasamund,123456789,dcmahasamund@gmail.com,MTOmahasamund,123456789,mtomahasamund@gmail.com,,,
22,Manendragarh-Chirmiri-Bharatpur,EDMmanendragarhchirmiribharatpur,123456789,edmmanendragarhchirmiribharatpur@gmail.com,DCmanendragarhchirmiribharatpur,123456789,dcmanendragarhchirmiribharatpur@gmail.com,MTOmanendragarhchirmiribharatpur,123456789,mtomanendragarhchirmiribharatpur@gmail.com,,,
23,Mohla-Manpur- Ambagarh Chowki,EDMmohlamanpurambagarhchowki,123456789,edmmohlamanpurambagarhchowki@gmail.com,DCmohlamanpurambagarhchowki,123456789,dcmohlamanpurambagarhchowki@gmail.com,MTOmohlamanpurambagarhchowki,123456789,mtomohlamanpurambagarhchowki@gmail.com,,,
24,Mungeli,EDMmungeli,123456789,edmmungeli@gmail.com,DCmungeli,123456789,dcmungeli@gmail.com,MTOmungeli,123456789,mtomungeli@gmail.com,,,
25,Narayanpur,EDMnarayanpur,123456789,edmnarayanpur@gmail.com,DCnarayanpur,123456789,dcnarayanpur@gmail.com,MTOnarayanpur,123456789,mtonarayanpur@gmail.com,,,
26,Raigarh,EDMraigarh,123456789,edmraigarh@gmail.com,DCraigarh,123456789,dcraigarh@gmail.com,MTOraigarh,123456789,mtoraigarh@gmail.com,,,
27,Raipur,EDMraipur,123456789,edmraipur@gmail.com,DCraipur,123456789,dcraipur@gmail.com,MTOraipur,123456789,mtoraipur@gmail.com,ADCraipur,123456789,adcraipur@gmail.com
28,Rajnandgaon,EDMrajnandgaon,123456789,edmrajnandgaon@gmail.com,DCrajnandgaon,123456789,dcrajnandgaon@gmail.com,MTOrajnandgaon,123456789,mtorajnandgaon@gmail.com,,,
29,Sarangarh-Bilaigarh,EDMsarangarhbilaigarh,123456789,edmsarangarhbilaigarh@gmail.com,DCsarangarhbilaigarh,123456789,dcsarangarhbilaigarh@gmail.com,MTOsarangarhbilaigarh,123456789,mtosarangarhbilaigarh@gmail.com,,,
30,Sakti,EDMsakti,123456789,edmsakti@gmail.com,DCsakti,123456789,dcsakti@gmail.com,MTOsakti,123456789,mtosakti@gmail.com,,,
31,Sukma,EDMsukma,123456789,edmsukma@gmail.com,DCsukma,123456789,dcsukma@gmail.com,MTOsukma,123456789,mtosukma@gmail.com,,,
32,Surajpur,EDMsurajpur,123456789,edmsurajpur@gmail.com,DCsurajpur,123456789,dcsurajpur@gmail.com,MTOsurajpur,123456789,mtosurajpur@gmail.com,,,
33,Surguja,EDMsurguja,123456789,edmsurguja@gmail.com,DCsurguja,123456789,dcsurguja@gmail.com,MTOsurguja,123456789,mtosurguja@gmail.com,ADCsurguja,123456789,
